time,organization,understandability,enthusiasm,teachability,"what was learned","what worked well","suggestions for improvement","additional comments"
"2019-11-18 14:40:02",4,5,4,4,"The army is working on augmented reality to help soldiers distinguish between allies and enemies, augmented reality is used  to simulate models walking on a catwalk, e commerce also uses AR to see articles of clothing simulated on models.","Showing relevant AR apps that we may not have known were AR such as snapchat and pokemon go. Videos and gifs that help depict what augmented reality does. ************************************************","test out an AR app infront of the class to demonstrate how AR works in real time, more graphics pictures on slides with just text. less wordy slides. instead of relying on videos to show AR apps use on of the AR apps infront of the class. ","good presentation!"
"2019-11-18 14:40:19",4,3,5,4,"I learned the applications of augmented reality in the fashion industry. I also learned about what augmented reality is and how it is used. I learned about different apps on the phone that has augmented reality.","She did a lot of research into the topic and she gave interesting examples of how augmented reality can be used in the beauty and fashion industries. She also went pretty in depth into the topic that she picked.","Wayyyyyyyyyyyy too much text on the slides. Sometimes there were so much that the text had to be a small size so it was hard to read. Presentation slides should only have short concise points that the presenter expands upon.",
"2019-11-18 15:12:39",3,4,3,3,"I learned that the AR can be used in the Beauty and fashion industry. You can use ikea app to buy furniture. You can take a picture on your phone and them select one of the sofa or chair and put it to your picture you can see what it looks like.","She talked about the benefits of augmented reality in retail. She showed a video about how to use augmented reality on mobile phone. She also provide data that showing how many people want to see product features like color or style.","She add too much information to her power point,  she can summarize some point and speak slowly so that everyone can understand. She also can add some background of augmented reality.                    ",
"2019-11-18 15:15:21",5,5,5,5,"I learned a lot of the fashion industry and how they are quickly Changing and adapting to the quickly evolving world. I also learned a lot more about alternative reality technology and some of its uses.","The presenter did a great job explaining what AR technology,what it is and how it's being used. The presenter also knew a lot about the topic and did a good job explaining especially since this I haven't heard much about this topic.","The presenter did a very good job overall and showed a very good understanding of the topic he was presenting. There was little flaws in there presentation and did a very good job overall. There isn't much to criticize","Interesting topic and good work."
"2019-11-18 18:08:16",2,2,2,3,"I learned that augmented reality is used by many large corporations for marketing purposes. IKEA have used AR on their IKEA Place App for users to see the 3D models of furniture through their phones in the house.","Amara had displayed pictures and image examples on augmented reality and virtual catwalk. She had also spoke and showed a video about Sephora "Virtual Artist"" App"," where users can put virtual makeup on their face using their phones."","Amara should not rush through the first half of her presentation nor continuously say "whatever"""
"2019-11-18 20:40:58",4,4,4,4,"I learn augmented reality was interactive experience of the real world environment, and augmented reality vs virtual reality experience seamlessly interwoven with the physical world and replaces the user reality environment.","Presenter show some of popular examples of augmented reality and virtual reality today, and show some of virtual reality app for the future of the user can feel the real scene in the electronic virtual reality. ","Presenter should be provide a little more detail about the augmented reality and virtual reality for the user can feel the real scene in the electronic virtual reality, and should be give more video to show the  virtual reality for the real scene.",
"2019-11-20 14:41:37",4,4,4,4,"Learned about the growing impact of augmented reality that is being had on the fashion industry and what this means for the future of both computer science and reality coding and also the future of the fashion industry.","The presenter seemed very passionate about the subject and seemed to have a very thorough presentation that covered her subject extensively and so she seemed to have a very in depth view of the topic at hand.","Perhaps the presenter could have minimized personal bias in the presentation and focused more on the facts of the impact of augmented reality on the fashion industry and focus strictly on sole benefits and disadvantages.",
"2019-11-18 14:36:14",4,3,2,4,"Learned the impact of Augmented Reality on the beauty and fashion industry. Examples include how IKEA mobile app that lets you show furniture in your house. Learned examples of how AR was implemented. For example in NY Fashion Week, AR was used in a booth to give the user different outfits. AR would also simulate the models walking down the aisle. ","She good videos that explained how AR was used. She spoke in very simple terms and wasn't bogged down by vocabulary. She explored different topics and covered light on fashion and beauty industry. She went though her presentation very fast.","She spoke very fast and easily lost what she had to say. She was reading off the slides and didnt sound that interested in the topic. She didnt  engage the audience as much and spoke monotones. She could speak louder and with direction.",
"2019-11-18 14:38:19",4,4,5,5,"I learnt about the augmented reality and it's impact on fashion and beauty industry. What augmented reality is and how it is different from virtual reality. I got to find out about some examples of this interactive experience. I learnt about the augmented reality catwalk experience.","Her slides were very nice, the use of video and people actually using this in real life with models walking in green screen can be shown as walking near the London eye is very cool. She had a lot of really cool examples about the topic. This was really awesome as it helped us understand what augmented reality is about and what real world uses it has. ","She could have been a little more clearer and louder with her points. I felt like the outline was all over the place and she was going back and forth with the examples she was explaining. She seems very enthusiastic about the topic",
"2019-11-18 14:40:00",4,3,4,5,"I learned about augmented reality and the way different companies use augmented reality int heir products. I also learned how they implement augmented reality, and some of the benefits of it in retail","The presenter was well informed about her topic. SHe seemed to know a lot about augmented reality She also had a lot of information on the slides in her presentation so that helped a lot.There were also graphs and charts which helped. It was also a really niche cool topic.","I think it would be better if the presenter didn't read off the slides directly. Also, if the presenter moved around a bit more during the presentation, it would make it a lot better. Moving around makes you seem enthusiastic. ","Great job!"
"2019-11-18 14:40:02",4,5,4,4,"The army is working on augmented reality to help soldiers distinguish between allies and enemies, augmented reality is used  to simulate models walking on a catwalk, e commerce also uses AR to see articles of clothing simulated on models.","Showing relevant AR apps that we may not have known were AR such as snapchat and pokemon go. Videos and gifs that help depict what augmented reality does. ************************************************","test out an AR app infront of the class to demonstrate how AR works in real time, more graphics pictures on slides with just text. less wordy slides. instead of relying on videos to show AR apps use on of the AR apps infront of the class. ","good presentation!"
"2019-11-18 14:40:07",3,3,4,5,"Augmented reality is an interactive  way to use the virtual world and integrate it with our physical world. Augmented reality has many uses and companies use it like ikea to display furniture in an empty space so you can see how things can be laid out. Military also uses AR to experiment. Augmented reality could solve alot of our real world problems without using energy in our physical world and to create optimal solutions.","The presenter explained what augmented reality is and gave real world uses and how we sometimes used AR like in snapchat filters, the presenter also showed us videos to demonstrate some more sophisticated uses of augmented reality like with modeling.","The presenter was hard to hear and there was a lot of information displayed on the slides where it was hard to read everything because of the pace of the presentation. The presenter should have spoken a little louder and clearer to be able to be heard in the back.",
"2019-11-18 14:40:16",4,2,2,3,"AR is known as augmentedd reality. It is an interactive experience of a real-world environment. Popular examples of AR today is the IKEA mobile app, Poiemon go which allows people catch their favorite pokemons though their phone. AR fashion show is where there are augmented reality elements that go around while the model walks. Superbright implemented a first of its kind augmented reality fashion show for xAD. The other type of AR in fashion shows is where they have a virtualize the models walking on the runway. ","The presenter had a lot of examples about different types of AR and had a good amount of videos that support her examples. The presenter looked like she had a good amount of knowledge about the topic and her presentation was very organized.","The presenter was speaking very low and she was speaking really fast. The presenter could slow down and try to read the presentation slower because it was hard to write down notes when the presenter is only staying on one slide for no more than 10 seconds.",
"2019-11-18 14:40:19",4,3,5,4,"I learned the applications of augmented reality in the fashion industry. I also learned about what augmented reality is and how it is used. I learned about different apps on the phone that has augmented reality.","She did a lot of research into the topic and she gave interesting examples of how augmented reality can be used in the beauty and fashion industries. She also went pretty in depth into the topic that she picked.","Wayyyyyyyyyyyy too much text on the slides. Sometimes there were so much that the text had to be a small size so it was hard to read. Presentation slides should only have short concise points that the presenter expands upon.",
"2019-11-18 14:41:39",5,5,5,5,"Something new I learned from this presentation that you didn't know before was what AR meant and i stands for augmented reality. Augmented reality is an interactive experience of a real-world environment where the objects that reside in the real world are enhanced by computer-generated perceptual information, sometimes across multiple sensory modalities, including visual, auditory, haptic, somatosensory and olfactory.","The thing that worked well for the presenter was that she had a lot of information in his slides that were very helpful. She had two videos where it differently explained the progress of how far augmented reality has gone.","Some changes I would advise to the presenter to make their presentation more effective would be if they would spoke a little bit louder. It was a little difficult to hear majority of the presentation.","Great job!"
"2019-11-18 14:59:39",5,3,4,5,"I learned that the difference between Augmented Reality and Virtual reality, which AR Is an interactive experience of a real world environment versus virtual reality which replaces the real world environment entirely. For example, snapchat is an augmented reality app because it has filters that replace certain features of your face.","Her presentation was very organized and included a lot of examples of augmented reality in beauty and fashion. She also included video clips to demonstrate these applications and how exactly it is used in beauty and fashion. She also included benefits of augmented reality, some of which were visualizing purchases, and personalizing shopping experience. ","Although her presentation was nice and informative, it was really hard to hear her so a lot of the information that I was able to get was mainly from the presentation slides. The presentation had more potential to be interesting and engaging the audience but the attitude of the presenter made it seem as if just was not interested in her presentation.",
"2019-11-18 15:09:51",3,2,4,3,"Topic was augmented reality fashion shows. She talked about augmented catwalk experience and also virtual catwalk. I see ikea place and sephora virtual artist app in the presentation. I learnt what is AR and benefits of it.","Benefit of augmented reality in retail part was good because consumers and retailers alike are taking this seriously. 32% of retailers plan to implement AR within 3 years and 48% of shoppers would be more likely to shop at retailer that utilizes AR.","I just couldn't hear her very clearly but topic was interesting.She should have put more pictures and videos to support her argument on the presentation. But overall her presentation was good.Future of the beauty and fashion industry is large topic and I got her point from her presentation.",
"2019-11-18 15:12:39",3,4,3,3,"I learned that the AR can be used in the Beauty and fashion industry. You can use ikea app to buy furniture. You can take a picture on your phone and them select one of the sofa or chair and put it to your picture you can see what it looks like.","She talked about the benefits of augmented reality in retail. She showed a video about how to use augmented reality on mobile phone. She also provide data that showing how many people want to see product features like color or style.","She add too much information to her power point,  she can summarize some point and speak slowly so that everyone can understand. She also can add some background of augmented reality.                    ",
"2019-11-18 15:15:21",5,5,5,5,"I learned a lot of the fashion industry and how they are quickly Changing and adapting to the quickly evolving world. I also learned a lot more about alternative reality technology and some of its uses.","The presenter did a great job explaining what AR technology,what it is and how it's being used. The presenter also knew a lot about the topic and did a good job explaining especially since this I haven't heard much about this topic.","The presenter did a very good job overall and showed a very good understanding of the topic he was presenting. There was little flaws in there presentation and did a very good job overall. There isn't much to criticize","Interesting topic and good work."
"2019-11-18 17:59:24",4,5,4,5,"The presenter talked about augmented reality, as opposed to virtual reality. One such example of its usage is United States military, who use to stimulate certain actions or settings for various purposes. There are multiple applications that implement augmented reality to make life easier and solve specific issues in todayâ€™s world.","The presenter was able to clearly introduce the topic of virtual reality and its uses. Many use cases were described and explained, allowing the audience to fully grasp what the technology can do. The slides were done in detail, allowing for another source of information.","The presenter perhaps could have shown more emotion in regards to presenting itself. For large portions of the time, the presenter would be reading off the slides without taking the time to explain and cater to the audience.",
"2019-11-18 18:08:16",2,2,2,3,"I learned that augmented reality is used by many large corporations for marketing purposes. IKEA have used AR on their IKEA Place App for users to see the 3D models of furniture through their phones in the house.","Amara had displayed pictures and image examples on augmented reality and virtual catwalk. She had also spoke and showed a video about Sephora "Virtual Artist"" App"," where users can put virtual makeup on their face using their phones."","Amara should not rush through the first half of her presentation nor continuously say "whatever"""
"2019-11-18 20:40:58",4,4,4,4,"I learn augmented reality was interactive experience of the real world environment, and augmented reality vs virtual reality experience seamlessly interwoven with the physical world and replaces the user reality environment.","Presenter show some of popular examples of augmented reality and virtual reality today, and show some of virtual reality app for the future of the user can feel the real scene in the electronic virtual reality. ","Presenter should be provide a little more detail about the augmented reality and virtual reality for the user can feel the real scene in the electronic virtual reality, and should be give more video to show the  virtual reality for the real scene.",
"2019-11-19 15:09:03",4,5,5,5,"I learned about the extensive use of argumentative reality in the fashion industry. One example she discussed was the Sephora "Virtual Artist"" app which allows people to test how various makeup looks on them without physically applying them which I thought was cool. "","The presentation appear very well put together. Her research was thorough on the of AR in the fashion industry. I do wished she did not read the slides too much as it I think it would have made her presentation that much better.","I think the presenter should use bullet points to display information on the slides. Her use of paragraphs made it hard to read especially in the back since the fonts were small. I also suggest that she not read the slides too much.",
"2019-11-20 14:41:37",4,4,4,4,"Learned about the growing impact of augmented reality that is being had on the fashion industry and what this means for the future of both computer science and reality coding and also the future of the fashion industry.","The presenter seemed very passionate about the subject and seemed to have a very thorough presentation that covered her subject extensively and so she seemed to have a very in depth view of the topic at hand.","Perhaps the presenter could have minimized personal bias in the presentation and focused more on the facts of the impact of augmented reality on the fashion industry and focus strictly on sole benefits and disadvantages.",
